City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,shahritus,37.2637,68.1385,82.96,22,0,3.22,TJ,1689980101
1,puerto ayora,-0.7393,-90.3518,84.16,80,67,11.92,EC,1689980101
2,bredasdorp,-34.5322,20.0403,44.85,72,97,4.23,ZA,1689980102
3,ushuaia,-54.8,-68.3,28.06,74,0,14.97,AR,1689980102
4,santa terezinha,-29.9002,-50.0904,63.95,93,24,14.18,BR,1689980102
5,ghadamis,30.1337,9.5007,93.63,12,0,11.79,LY,1689980102
6,san luis de la loma,17.2706,-100.8939,87.15,71,45,8.66,MX,1689980102
7,puerto natales,-51.7236,-72.4875,27.0,96,100,3.6,CL,1689980103
8,santa elena de uairen,4.6167,-61.1333,69.01,85,33,2.57,VE,1689980103
9,bethel,41.3712,-73.414,82.27,76,0,3.44,US,1689980103
10,sao gabriel da cachoeira,-0.1303,-67.0892,78.69,75,83,2.1,BR,1689980103
11,hilo,19.7297,-155.09,82.13,72,75,8.01,US,1689980103
12,lebu,-37.6167,-73.65,51.04,91,100,8.25,CL,1689980104
13,sisimiut,66.9395,-53.6735,43.5,92,100,3.24,GL,1689980104
14,afaahiti,-17.75,-149.2833,80.47,62,43,10.49,PF,1689980104
15,tralee,52.2704,-9.7026,56.61,96,100,8.79,IE,1689980104
16,vadso,70.0744,29.7487,47.28,100,100,14.97,NO,1689980104
17,petropavlovsk-kamchatsky,53.0452,158.6483,64.99,72,0,4.47,RU,1689979928
18,khyzy,40.9058,49.0813,73.04,55,11,3.58,AZ,1689980105
19,salalah,17.0151,54.0924,78.89,94,100,4.61,OM,1689979863
20,arraial do cabo,-22.9661,-42.0278,69.66,73,75,14.97,BR,1689980105
21,waitangi,-43.9535,-176.5597,53.82,95,100,4.0,NZ,1689980105
22,badger,64.8,-147.5333,77.99,45,0,3.44,US,1689980105
23,alice springs,-23.7,133.8833,36.95,93,0,4.61,AU,1689980106
24,el calafate,-50.3408,-72.2768,29.43,93,100,4.05,AR,1689980106
25,west island,-12.1568,96.8225,76.98,78,40,12.66,CC,1689980106
26,braganca paulista,-22.94,-46.5556,59.88,78,28,4.94,BR,1689980106
27,hamilton,39.1834,-84.5333,81.45,60,20,9.22,US,1689979547
28,bathsheba,13.2167,-59.5167,83.01,83,40,11.5,BB,1689980106
29,bogale,16.2833,95.4,78.4,90,100,4.29,MM,1689980107
30,invercargill,-46.4,168.35,38.44,70,14,6.08,NZ,1689980107
31,wanxian,30.8039,108.3897,75.24,95,4,1.61,CN,1689980107
32,port-aux-francais,-49.35,70.2167,33.67,61,100,31.45,TF,1689980108
